Event	ID	Name			Wwise Object Path	Notes
	732318602	GPE_MoveDoor01			\Default Work Unit\GPE\GPE_LVL_01\GPE_DOOR_LVL_01\GPE_MoveDoor01	
	935105681	GPE_StopDoor01			\Default Work Unit\GPE\GPE_LVL_01\GPE_DOOR_LVL_01\GPE_StopDoor01	
	2005152933	GPE_StartDoor01			\Default Work Unit\GPE\GPE_LVL_01\GPE_DOOR_LVL_01\GPE_StartDoor01	
	2413915973	GPE_CratesBreak			\Default Work Unit\GPE\GPE_LVL_01\GPE_CRATES_BREAK\GPE_CratesBreak	
	2609067447	GPE_SwitchActivate			\Default Work Unit\GPE\GPE_LVL_01\GPE_SWITCH\GPE_SwitchActivate	
	3250759686	GPE_BreakHeals			\Default Work Unit\GPE\GPE_LVL_01\GPE_CRATES_HEALS\GPE_BreakHeals	
	3369982202	GPE_Switchidle			\Default Work Unit\GPE\GPE_LVL_01\GPE_SWITCH\GPE_Switchidle	
	4007179743	GPE_IdleHeals			\Default Work Unit\GPE\GPE_LVL_01\GPE_CRATES_HEALS\GPE_IdleHeals	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	94715260	GPE_CratesHealsBreaks_02	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_CratesHealsBreaks_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesHealsBreak\GPE_CratesHealsBreaks_02		544096
	164059021	GPE_CratesHealsIdle_LP	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_CratesHealsIdle_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesHealsIdle\GPE_CratesHealsIdle_LP		5195664
	190476544	GPE_Crates_Breaks_02	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_Crates_Breaks_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesBreak\GPE_Crates_Breaks_02		323296
	346089246	GPE_CratesHealsBreaks_03	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_CratesHealsBreaks_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesHealsBreak\GPE_CratesHealsBreaks_03		512096
	349293864	GPE_Crates_Breaks_04	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_Crates_Breaks_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesBreak\GPE_Crates_Breaks_04		512096
	482248592	GPE_1st_Zone_DoorMove_LP	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_1st_Zone_DoorMove_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_DOOR_LVL_01\AM_DOOR\RC_DoorMove\GPE_1st_Zone_DoorMove_LP		1142496
	658524535	GPE_SwitchActivate_02	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_SwitchActivate_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_SWITCH\AM_SWITCH\RC_SwitchActivate\GPE_SwitchActivate_02		201696
	812940083	GPE_1st_Zone_DoorStart	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_1st_Zone_DoorStart_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_DOOR_LVL_01\AM_DOOR\RC_DoorStart\GPE_1st_Zone_DoorStart		249696
	854537887	GPE_Crates_Breaks_01	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_Crates_Breaks_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_CRATES\AM_CRATES\RC_CratesBreak\GPE_Crates_Breaks_01		358496
	871365457	GPE_SwitchActivate_03	C:\Users\ninol\Documents\SLOPE\UNITY\TheExplorer3D\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Mac\SFX\GPE\GPE_SwitchActivate_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GPE\GPE_LVL_01\AM_LVL_01\GPE_SWITCH\AM_SWITCH\RC_SwitchActivate\GPE_SwitchActivate_03		192096
